,Initial Value,Final Value,Number of Votes,Yays,Majority Party Size,Distance between Medians,Majority St. Dev.,Majority Round Adjustment,Minority St. Dev.,Minority Round Adjustment
6332,0.0705694745696856,-0.02590674757032975,16.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6333,0.1965765229079652,0.07657652290796521,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6334,0.08283388965418788,0.032343534829889636,13.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6335,0.004926496342145575,0.02292027473457786,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6336,-0.16486285322547767,-0.034862853225477664,14.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6337,-0.044969910543065025,-0.005002304541340569,13.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6338,-0.12081974124757168,0.02918025875242833,16.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6339,-0.06991862369958533,-0.018839627740353804,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6340,-0.17307828776038914,-0.04307828776038913,14.0,58.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6341,-0.20084087757202082,-0.06084087757202081,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6342,-0.09001334952149764,-0.006579468465781196,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6343,0.34463657588721386,0.17463657588721385,18.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6344,-0.011443488729963258,-0.011443488729963258,14.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6345,0.25261869825496486,0.10261869825496486,16.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6346,0.14847498289299216,-0.0075558037485920215,17.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6347,0.07594812430538173,0.028942845739639136,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6348,-0.1908420972516376,-0.050842097251637575,15.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6349,0.20638779207143002,0.06638779207143,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6350,-0.1014689018532984,0.009704122934762277,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6351,-0.11834103644428258,-0.006355484943489614,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6352,-0.16309484917085307,-0.03309484917085306,14.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6353,0.05519725247216145,0.006364582963875098,12.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6354,-0.19155585097509173,-0.04155585097509171,16.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6355,-0.017831979921454428,-0.001021960027275004,16.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6356,-0.08995925185608468,-0.006479534091397399,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6357,-0.15613673205411568,-0.03613673205411569,13.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6358,-0.13962533265746013,-0.009625332657460128,14.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6359,0.1280459303481133,-0.011954069651886723,15.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6360,0.012716152563605948,0.012716152563605948,17.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6361,-0.14263100959685449,-0.012631009596854481,14.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6362,-0.21567715205063115,-0.07567715205063114,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6363,0.22673881277534177,0.08673881277534176,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6364,-0.13714928778835028,-0.027149287788350296,12.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6365,0.2586208670052333,0.07862086700523327,19.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6366,0.23578847137370132,0.10578847137370131,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6367,0.14183954531026013,0.020587347478952772,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6368,0.22776954523380824,0.07776954523380822,16.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6369,-0.010976306934876934,0.011882483166193086,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6370,0.06612061349614944,-0.004364845862425387,13.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6371,-0.17142157657771895,-0.031421576577718935,15.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6372,0.25024752009924145,0.12024752009924147,14.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6373,-0.1912812985560388,-0.051281298556038774,15.0,56.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6374,0.21261310108994386,0.06261310108994383,16.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6375,-0.07997856205004406,0.012111052135593409,17.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6376,-0.09800485651502591,-0.01945127871706362,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6377,-0.016213617766629645,-0.02343675158385705,15.0,51.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6378,0.02822565561355056,0.02822565561355056,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6379,0.0074381471557417485,0.004803426165937208,13.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6380,0.19176946327208652,0.06176946327208652,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6381,-0.017557680999607337,0.0016710413846094674,15.0,53.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6382,0.12675777622449416,0.013593594329350256,14.0,52.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6383,0.16598761143773894,0.025987611437738922,15.0,55.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
6384,-0.12018558155786592,0.00981441844213407,14.0,54.0,51.0,0.30000000000000004,0.1,0.01,0.1,0.01
